Temperature (K), B_2V
100,-160988531378945308024111104
100,-160744530910960449585414144
100,-160501109956140123677523968
100,-160258266481589860001906688
100,-160015998463823709258907648
100,-159774303888710092200083456
100,-159533180751418576393469952
100,-159292627056366584269373440
100,-159052640817166376044068864
100,-158813220056572960356433920
100,-158574362806431833105891328
100,-158336067107627025527996416
101,-158098331010030492299821056
101,-157861152572449747298680832
101,-157624529862578660456792064
101,-157388460956946055592673280
101,-157152943940865991869726720
101,-156917976908388182693773312
101,-156683557962248723848232960
101,-156449685213820718550089728
101,-156216356783065898938269696
101,-155983570798486419360710656
101,-155751325397076306064048128
102,-155519618724274212553359360
102,-155288448933915900074000384
102,-155057814188186924251873280
102,-154827712657576146367414272
102,-154598142520829364888666112
102,-154369101964902809565396992
102,-154140589184917580416024576
102,-153912602384114103894409216
102,-153685139773806692135862272
102,-153458199573338944016744448
102,-153231780010038854156288000
102,-153005879319174471674232832
103,-152780495743910022804930560
103,-152555627535262222490009600
103,-152331272952056293913264128
103,-152107430260883534223769600
103,-151884097736057763567501312
103,-151661273659573148508487680
103,-151438956321061699032449024
103,-151217144017751126327689216
103,-150995835054423147242586112
103,-150775027743372235419680768
103,-150554720404363874213560320
104,-150334911364593806041153536
104,-150115598958647694048886784
104,-149896781528460027865595904
104,-149678457423274506824187904
104,-149460624999603907787227136
104,-149243282621190262210166784
104,-149026428658965909377908736
104,-148810061491013931166072832
104,-148594179502529428615856128
104,-148378781085780935947845632
104,-148163864640072006374522880
104,-147949428571703038430937088
105,-147735471293933291283939328
105,-147521991226943655955660800
105,-147308986797798687812616192
105,-147096456440409669846958080
105,-146884398595498019555115008
105,-146672811710558094521008128
105,-146461694239820908532334592
105,-146251044644218088215019520
105,-146040861391345760948191232
105,-145831142955428648937586688
105,-145621887817284816123985920
106,-145413094464290226113085440
106,-145204761390343540623540224
106,-144996887095831708208988160
106,-144789470087594608087269376
106,-144582508878891308877348864
106,-144376001989365640141471744
106,-144169947945012004445487104
106,-143964345278141928153546752
106,-143759192527350577863065600
106,-143554488237482675544260608
106,-143350230959600561163337728
107,-143146419250950262440853504
107,-142943051674929282596995072
107,-142740126801053803981307904
107,-142537643204926974034182144
107,-142335599468206108916580352
107,-142133994178570945111785472
107,-141932825929692475142701056
107,-141732093321200769676869632
107,-141531794958654053761941504
107,-141331929453507662802059264
107,-141132495423082843915419648
107,-140933491490536055508041728
108,-140734916284828868142956544
108,-140536768440697195394498560
108,-140339046598621211897364480
108,-140141749404795683712532480
108,-139944875511099748937367552
108,-139748423575067643208531968
108,-139552392259859270586073088
108,-139356780234230877516726272
108,-139161586172506087574470656
108,-138966808754546970560823296
108,-138772446665725386483040256
109,-138578498596894449791401984
109,-138384963244360354393751552
109,-138191839309853992511602688
109,-137999125500503157651800064
109,-137806820528804558599618560
109,-137614923112596194189115392
109,-137423431975030123210473472
109,-137232345844544907899830272
109,-137041663454838469745967104
109,-136851383544841357613858816
109,-136661504858689689450708992
109,-136472026145698660927668224
110,-136282946160335779203645440
110,-136094263662195127481270272
110,-135905977415970581590835200
110,-135718086191430160445603840
110,-135530588763390204698427392
110,-135343483911689383599669248
110,-135156770421163389049896960
110,-134970447081619749911658496
110,-134784512687812113745313792
110,-134598966039415628056494080
110,-134413805941001737428008960
111,-134229031202013581947174912
111,-134044640636741429992882176
111,-133860633064297939223969792
111,-133677007308593829884461056
111,-133493762198314417102258176
111,-133310896566894425200918528
111,-133128409252494983854817280
111,-132946299097979644991766528
111,-132764564950890605854064640
111,-132583205663425430275751936
111,-132402220092413546621566976
111,-132221607099293484460277760
112,-132041365550089183525076992
112,-131861494315387608344035328
112,-131681992270315778755002368
112,-131502858294518144017891328
112,-131324091272134094365917184
112,-131145690091775592815919104
112,-130967653646504841338421248
112,-130789980833812445243899904
112,-130612670555595199611928576
112,-130435721718134150598230016
112,-130259133232073206497542144
113,-130082904012397473928577024
113,-129907032978411473759895552
113,-129731519053718095770157056
113,-129556361166197536128499712
113,-129381558247985685119107072
113,-129207109235453872075440128
113,-129033013069187390543757312
113,-128859268693965157318000640
113,-128685875058738907618213888
113,-128512831116612991564382208
113,-128340135824823638074327040
114,-128167788144719266733621248
114,-127995787041739786053222400
114,-127824131485396836619911168
114,-127652820449254068606468096
114,-127481852910907144403943424
114,-127311227851964291009740800
114,-127140944258026474458578944
114,-126971001118668278628089856
114,-126801397427418423267164160
114,-126632132181740539722334208
114,-126463204383014324621279232
114,-126294613036516178160254976
115,-126126357151400701384982528
115,-125958435740681695255330816
115,-125790847821213468947644416
115,-125623592413672818171969536
115,-125456668542539680639352832
115,-125290075236079629775142912
115,-125123811526325320460271616
115,-124957876449058192470573056
115,-124792269043790809571262464
115,-124626988353748666035470336
115,-124462033425852508558852096
116,-124297403310700623814459392
116,-124133097062551126007611392
116,-123969113739304691107364864
116,-123805452402486655422824448
116,-123642112117230522928726016
116,-123479091952259703064494080
116,-123316390979871396016947200
116,-123154008275918845915430912
116,-122991942919794951236616192
116,-122830193994414964676231168
116,-122668760586200172273336320
116,-122507641785061005598916608
117,-122346836684380566261334016
117,-122186344380998305030602752
117,-122026163975193408904888320
117,-121866294570668789472428032
117,-121706735274534830755282944
117,-121547485197293222952435712
117,-121388543452821088240664576
117,-121229909158355055035809792
117,-121071581434475349433909248
117,-120913559405090195889979392
117,-120755842197420269436403712
118,-120598428941982735584460800
118,-120441318772576544356302848
118,-120284510826266109409230848
118,-120128004243366825405972480
118,-119971798167429468693463040
118,-119815891745225096197832704
118,-119660284126730150477824000
118,-119504974465111478878863360
118,-119349961916711455766347776
118,-119195245641032984499847168
118,-119040824800725272501420032
118,-118886698561568747330469888
119,-118732866092460625593630720
119,-118579326565400825452036096
119,-118426079155477106034475008
119,-118273123040850928405053440
119,-118120457402743350890594304
119,-117968081425420821328822272
119,-117815994296181003676286976
119,-117664195205339016933146624
119,-117512683346213278930960384
119,-117361457915111745257472000
119,-117210518111318560498253824
120,-117059863137079558427115520
120,-116909492197589411463954432
120,-116759404500977663441108992
120,-116609599258295587003432960
120,-116460075683502336633733120
120,-116310832993452201189834752
120,-116161870407881014628057088
120,-116013187149392944683810816
120,-115864782443447762588532736
120,-115716655518347391232114688
120,-115568805605223209239576576
121,-115421231938023045810094080
121,-115273933753498501973540864
121,-115126910291192203127554048
121,-114980160793424879775907840
121,-114833684505283032382439424
121,-114687480674606269807460352
121,-114541548551974991341551616
121,-114395887390697725141975040
121,-114250496446799033604767744
121,-114105374979007057959583744
121,-113960522248741475181395968
121,-113815937520101334643113984
122,-113671620059852791688986624
122,-113527569137417459683295232
122,-113383784024860143583756288
122,-113240263996877088910999552
122,-113097008330784179178438656
122,-112954016306505133322141696
122,-112811287206560012368347136
122,-112668820316053262244511744
122,-112526614922662357885779968
122,-112384670316626395801845760
122,-112242985790734360226299904
123,-112101560640313956201660416
123,-111960394163220408304664576
123,-111819485659824812694962176
123,-111678834433003227898183680
123,-111538439788125576610447360
123,-111398301033044358524305408
123,-111258417478083775471550464
123,-111118788436028736306937856
123,-110979413222113793072431104
123,-110840291154012867435429888
123,-110701421551827482478379008
123,-110562803738076901453856768
124,-110424437037687115488428032
124,-110286320777980157704011776
124,-110148454288663657857417216
124,-110010836901820328260403200
124,-109873467951897466879606784
124,-109736346775696477616340992
124,-109599472712362699824037888
124,-109462845103375134746476544
124,-109326463292535828358627328
124,-109190326625960284999647232
124,-109054434452066833033854976
125,-108918786121566815145426944
125,-108783380987454417855840256
125,-108648218404996861818568704
125,-108513297731724368775479296
125,-108378618327420214412574720
125,-108244179554111210712465408
125,-108109980776057552651681792
125,-107976021359743334912884736
125,-107842300673867017057468416
125,-107708818089331304582610944
125,-107575572979234266928906240
125,-107442564718859304436760576
126,-107309792685665768137818112
126,-107177256259279802884685824
126,-107044954821484743804059648
126,-106912887756211753268019200
126,-106781054449530732743229440
126,-106649454289641114381058048
126,-106518086666862343370047488
126,-106386950973625236461715456
126,-106256046604462498682765312
126,-106125372955999858522587136
126,-105994929426947151581151232
127,-105864715418089180878602240
127,-105734730332276920762236928
127,-105604973574418789532958720
127,-105475444551471561294479360
127,-105346142672431982177157120
127,-105217067348327527568375808
