Temperature (K), B_2V
100,-208460372400474887907442688
100,-208079556319991650437824512
100,-207699790783179063233085440
100,-207321071642888792006721536
100,-206943394773049521901404160
100,-206566756068536527922135040
100,-206191151445042722838151168
100,-205816576838949636365352960
100,-205443028207200284134342656
100,-205070501527172930011660288
100,-204698992796554917140496384
100,-204328498033218148248846336
101,-203959013275095631109554176
101,-203590534580057955280879616
101,-203223058025791418114506752
101,-202856579709677593872564224
101,-202491095748671528455110656
101,-202126602279183713698840576
101,-201763095456960824725209088
101,-201400571456968381433905152
101,-201039026473273066398941184
101,-200678456718927654104858624
101,-200318858425855356067381248
102,-199960227844734990587789312
102,-199602561244888179731857408
102,-199245854914166065272455168
102,-198890105158837330302205952
102,-198535308303477320357773312
102,-198181460690857267623362560
102,-197828558681834717725065216
102,-197476598655245262195261440
102,-197125577007793549382516736
102,-196775490153946563104210944
102,-196426334525827038738120704
102,-196078106573107532149030912
103,-195730802762905038371160064
103,-195384419579677500076195840
103,-195038953525119422688133120
103,-194694401118059310564245504
103,-194350758894357687291609088
103,-194008023406805219062841344
103,-193666191225022659117973504
103,-193325258935360139351293952
103,-192985223140798179905110016
103,-192646080460849385958277120
103,-192307827531459629118652416
104,-191970461004911771436187648
104,-191633977549728564782301184
104,-191298373850576649740877824
104,-190963646608171688370634752
104,-190629792539183325168795648
104,-190296808376141728582729728
104,-189964690867344166881329152
104,-189633436776761927623770112
104,-189303042883949058194407424
104,-188973505983950350423425024
104,-188644822887211249352835072
104,-188316990419486834289541120
105,-187990005421753342479040512
105,-187663864750118765066190848
105,-187338565275734473848127488
105,-187014103884707535221948416
105,-186690477478014604680364032
105,-186367682971413931521736704
105,-186045717295360559015788544
105,-185724577394920596856373248
105,-185404260229686902363521024
105,-185084762773694452447838208
105,-184766082015337124324179968
106,-184448214957284544944799744
106,-184131158616399661987004416
106,-183814910023657414352437248
106,-183499466224062200075517952
106,-183184824276568264809644032
106,-182870981253999265679671296
106,-182557934242968006933086208
106,-182245680343797962297573376
106,-181934216670444281942507520
106,-181623540350415933311811584
106,-181313648524697979395768320
107,-181004538347674990874198016
107,-180696206987053633625915392
107,-180388651623787592700395520
107,-180081869452001774734934016
107,-179775857678917231926312960
107,-179470613524776360880373760
107,-179166134222769853808246784
107,-178862417018962344052523008
107,-178559459172219700880867328
107,-178257257954136633517277184
107,-177955810648964638770724864
107,-177655114553539948663799808
108,-177355166977213539645652992
108,-177055965241779492537499648
108,-176757506681405036105302016
108,-176459788642561449625911296
108,-176162808483954415697395712
108,-175866563576455197683089408
108,-175571051303032607429623808
108,-175276269058685076064174080
108,-174982214250373068389089280
108,-174688884296952493708935168
108,-174396276629107669980938240
109,-174104388689285834153656320
109,-173813217931631240188788736
109,-173522761821919635040108544
109,-173233017837494040302452736
109,-172943983467199984104898560
109,-172655656211321832515567616
109,-172368033581518880428261376
109,-172081113100762782478893056
109,-171794892303274365486628864
109,-171509368734461609126133760
109,-171224539950857798398509056
109,-170940403520059744821706752
110,-170656957020667004053356544
110,-170374198042221368391499776
110,-170092124185145809519509504
110,-169810733060685551554789376
110,-169530022290847700988461056
110,-169249989508342800770400256
110,-168970632356525491041075200
110,-168691948489336819130826752
110,-168413935571245690565689344
110,-168136591277191316505624576
110,-167859913292526210938568704
111,-167583899312959187874480128
111,-167308547044499011374415872
111,-167033854203397873780916224
111,-166759818516095767301586944
111,-166486437719165439708233728
111,-166213709559256800280182784
111,-165941631793042322180014080
111,-165670202187162788426678272
111,-165399418518173175307567104
111,-165129278572489291704827904
111,-164859780146333525068480512
111,-164590921045683164369911808
112,-164322699086216592751591424
112,-164055112093261541761089536
112,-163788157901742864548757504
112,-163521834356130858821222400
112,-163256139310390483148079104
112,-162991070627929267598524416
112,-162726626181547629559676928
112,-162462803853387986964054016
112,-162199601534884730510508032
112,-161937017126714539482546176
112,-161675048538747350401679360
113,-161413693689996157449666560
113,-161152950508569596029566976
113,-160892816931622464742490112
113,-160633290905307656113618944
113,-160374370384728671433785344
113,-160116053333891792003661824
113,-159858337725658628335075328
113,-159601221541699219108134912
113,-159344702772445576804958208
113,-159088779417044958465490944
113,-158833449483313583119925248
114,-158578710987691517452222464
114,-158324561955196255793577984
114,-158071000419378052462542848
114,-157818024422274532550639616
114,-157565632014366470939082752
114,-157313821254532574883086336
114,-157062590210006293820735488
114,-156811936956331048633892864
114,-156561859577317350694715392
114,-156312356164998855760281600
114,-156063424819589654817800192
114,-155815063649441393131126784
115,-155567270771000492366495744
115,-155320044308766231711711232
115,-155073382395248519757692928
115,-154827283170926044337143808
115,-154581744784204851859947520
115,-154336765391377356145295360
115,-154092343156580934936952832
115,-153848476251757007454863360
115,-153605162856611245818118144
115,-153362401158572704136167424
115,-153120189352754047111659520
116,-152878525641911933262102528
116,-152637408236407037364273152
116,-152396835354165120870645760
116,-152156805220637861807652864
116,-151917316068764234429759488
116,-151678366138931562456023040
116,-151439953678937603098804224
116,-151202076943952012617187328
116,-150964734196478928561897472
116,-150727923706318830465712128
116,-150491643750531585944846336
116,-150255892613399067303608320
117,-150020668586387836858531840
117,-149785969968113155112435712
117,-149551795064301717618163712
117,-149318142187755577253298176
117,-149085009658316633430556672
117,-148852395802829661019308032
117,-148620298955107589829951488
117,-148388717455895787665883136
117,-148157649652836463634546688
117,-147927093900434102250635264
117,-147697048560020691380862976
118,-147467511999720709670567936
118,-147238482594416955783905280
118,-147009958725716463543386112
118,-146781938781916399889547264
118,-146554421157970237718528000
118,-146327404255454186417684480
118,-146100886482534000358326272
118,-145874866253931495330676736
118,-145649341990891769353469952
118,-145424312121150268864724992
118,-145199775078900456207941632
118,-144975729304760961722220544
119,-144752173245743783804403712
119,-144529105355222059474485248
119,-144306524092898367516966912
119,-144084427924772636485222400
119,-143862815323111461455134720
119,-143641684766416132288544768
119,-143421034739391830127804416
119,-143200863732916823890329600
119,-142981170244011374705377280
119,-142761952775807568063758336
119,-142543209837518905449381888
120,-142324939944409689812369408
120,-142107141617765665172619264
120,-141889813384863625431220224
120,-141672953778941950894800896
120,-141456561339171127620009984
120,-141240634610624575995641856
120,-141025172144249152907247616
120,-140810172496836375456251904
120,-140595634230993868017369088
120,-140381555915116001842167808
120,-140167936123356218289815552
121,-139954773435598115107241984
121,-139742066437427700940406784
121,-139529813720105306248183808
121,-139318013880537322417553408
121,-139106665521249332448198656
121,-138895767250357987506651136
121,-138685317681543914272587776
121,-138475315434024398946828288
121,-138265759132526500756062208
121,-138056647407260045198491648
121,-137847978893891012426465280
121,-137639752233514908449243136
122,-137431966072630273774714880
122,-137224619063112673087455232
122,-137017709862188186710573056
122,-136811237132407846960365568
122,-136605199541621593464635392
122,-136399595762952572078391296
122,-136194424474771828936540160
122,-135989684360672695268933632
122,-135785374109445721971228672
122,-135581492415053476736794624
122,-135378037976605684786003968
123,-135175009498334369595523072
123,-134972405689569285685379072
123,-134770225264713145247596544
123,-134568466943217531969601536
123,-134367129449558677418672128
123,-134166211513212825109528576
123,-133965711868632986141327360
123,-133765629255224629682765824
123,-133565962417322009112346624
123,-133366710104164848935895040
123,-133167871069874791185907712
123,-132969444073431790281293824
124,-132771427878651349700706304
124,-132573821254161466598096896
124,-132376622973379232820887552
124,-132179831814488879037153280
124,-131983446560418238314840064
124,-131787465998816704349601792
124,-131591888922032794555645952
124,-131396714127091902135140352
124,-131201940415673756089843712
124,-131007566594091135363186688
124,-130813591473267139873341440
125,-130620013868713818755956736
125,-130426832600510747067285504
125,-130234046493282880932806656
125,-130041654376179666826297344
125,-129849655082853446474268672
125,-129658047451438342796738560
125,-129466830324529128668135424
125,-129276002549160593894408192
125,-129085562976786190635630592
125,-128895510463257743980494848
125,-128705843868804595585122304
125,-128516562058013245528080384
126,-128327663899806822366707712
126,-128139148267425171668729856
126,-127951014038404154269892608
126,-127763260094556164302307328
126,-127575885321949702329991168
126,-127388888610889893377212416
126,-127202268855898644179582976
126,-127016024955695040953319424
126,-126830155813175833063849984
126,-126644660335396122852851712
126,-126459537433549952386072576
127,-126274786022951130719322112
127,-126090405023014404761845760
127,-125906393357236114743623680
127,-125722749953175571237175296
127,-125539473742436174481326080
127,-125356563660646946021834752
127,-125174018647443768294244352
127,-124991837646450641386602496
127,-124810019605262279831977984
127,-124628563475424647816675328
127,-124447468212417710591574016
128,-124266732775636863033540608
128,-124086356128375320279515136
128,-123906337237805855525568512
128,-123726675074963259380465664
128,-123547368614726850758836224
128,-123368416835802472378269696
128,-123189818720705293710262272
128,-123011573255742287513649152
128,-122833679430995135864766464
128,-122656136240302552072060928
128,-122478942681243976980234240
128,-122302097755121608827076608
129,-122125600466944305706041344
129,-121949449825409976200331264
129,-121773644842889670824034304
129,-121598184535410075735425024
129,-121423067922637741617053696
129,-121248294027861920986431488
129,-121073861877978556557950976
129,-120899770503473994726899712
129,-120726018938408441355436032
129,-120552606220400310911762432
129,-120379531390609665076232192
130,-120206793493722699319476224
130,-120034391577935542285762560
130,-119862324694938673651646464
130,-119690591899901049926844416
130,-119519192251454573852491776
130,-119348124811678787137699840
130,-119177388646084893181214720
130,-119006982823600621606666240
130,-118836906416555195877031936
130,-118667158500663699613679616
130,-118497738155012267549130752
130,-118328644462042761083748352
131,-118159876507538010778107904
131,-117991433380606749607723008
131,-117823314173669027254108160
131,-117655517982441108999766016
131,-117488043905921096177680384
131,-117320891046374392001986560
131,-117154058509318961240211456
131,-116987545403510985022504960
131,-116821350840930429751525376
131,-116655473936767011149316096
131,-116489913809405745987321856
132,-116324669580412898953396224
132,-116159740374521912338939904
132,-115995125319619438805254144
132,-115830823546731356970024960
132,-115666834190009113411321856
132,-115503156386715617994997760
132,-115339789277211963835809792
132,-115176732004943460063772672
132,-115013983716426179986587648
132,-114851543561233612331286528
132,-114689410691982951708622848
132,-114527584264322162171576320
133,-114366063436916267679744000
133,-114204847371434501557190656
133,-114043935232536734395793408
133,-113883326187861001470214144
133,-113723019408009965000982528
133,-113563014066538183871430656
133,-113403309339939400524496896
133,-113243904407633364003061760
133,-113084798451953305825312768
133,-112925990658133364320501760
133,-112767480214295957425094656
134,-112609266311438863421145088
134,-112451348143423349646688256
134,-112293724906961098615291904
134,-112136395801602422625796096
134,-111979360029723636558462976
134,-111822616796514946067202048
134,-111666165309968215512711168
134,-111510004780865131032608768
134,-111354134422764796675883008
134,-111198553451991794393808896
134,-111043261087624536088641536
135,-110888256551483237705187328
135,-110733539068118168200282112
135,-110579107864797709533708288
135,-110424962171496966414925824
135,-110271101220886032452419584
135,-110117524248318393742000128
135,-109964230491819401174581248
135,-109811219192074948902387712
135,-109658489592420084085686272
135,-109506040938827547920039936
135,-109353872479896557181730816
135,-109201983466841620132921344
136,-109050373153481455506030592
136,-108899040796227602250465280
136,-108747985654073819553333248
136,-108597206988584696586174464
136,-108446704063884897906851840
136,-108296476146648340141965312
136,-108146522506087179690704896
136,-107996842413941212745564160
136,-107847435144467137874100224
136,-107698299974427698341609472
136,-107549436183081460088963072
137,-107400843052171816616329216
137,-107252519865916835680485376
137,-107104465910998521876578304
137,-106956680476552646155567104
137,-106809162854158231744282624
137,-106661912337827521101824000
137,-106514928223995375940272128
137,-106368209811509209821347840
137,-106221756401619092551761920
137,-106075567297967322002620416
137,-105929641806578528504774656
137,-105783979235849590265610240
138,-105638578896539875203350528
138,-105493440101761293802799104
138,-105348562166968248891867136
138,-105203944409947963375222784
138,-105059586150810945406894080
138,-104915486711981006886273024
138,-104771645418185574011895808
138,-104628061596446410152083456
138,-104484734576069788959768576
138,-104341663688636942365229056
138,-104198848267994869346074624
139,-104056287650246732380372992
139,-103913981173742374158860288
139,-103771928179069349693227008
139,-103630128009043185330290688
139,-103488580008698651378450432
139,-103347283525280055481597952
139,-103206237908232498065702912
139,-103065442509192560849715200
139,-102924896681979424853196800
139,-102784599782585661986439168
139,-102644551169168335878225920
139,-102504750202040188602941440
140,-102365196243660621249249280
140,-102225888658626983726415872
140,-102086826813665624052465664
140,-101948010077623315599458304
140,-101809437821458289201774592
140,-101671109418231900919562240
140,-101533024243099853125582848
140,-101395181673303467131666432
140,-101257581088161419671633920
140,-101120221869061015527751680
